"Month","Sex","Employment_status","Main_occupation","Count"
"731",1992 Feb,"Males","Part time","Labourers",133.7747695
"732",1992 Feb,"Males","Part time","Machinery Operators and Drivers",33.94580582
"733",1992 Feb,"Males","Part time","Managers",31.65383018
"734",1992 Feb,"Males","Part time","Professionals",47.06945324
"735",1992 Feb,"Males","Part time","Sales Workers",71.2824509
"736",1992 Feb,"Males","Part time","Technicians and Trades Workers",57.13435502
"737",1992 May,"Females","Full time","Clerical and Administrative Workers",536.12639871
"738",1992 May,"Females","Full time","Community and Personal Service Workers",139.45772556
"739",1992 May,"Females","Full time","Labourers",150.40375921
"740",1992 May,"Females","Full time","Machinery Operators and Drivers",56.5506323
"741",1992 May,"Females","Full time","Managers",190.17018734
"742",1992 May,"Females","Full time","Professionals",413.28716127
"743",1992 May,"Females","Full time","Sales Workers",294.58507808
"744",1992 May,"Females","Full time","Technicians and Trades Workers",100.44982461
"745",1992 May,"Females","Part time","Clerical and Administrative Workers",291.85421065
"746",1992 May,"Females","Part time","Community and Personal Service Workers",182.3155105
"747",1992 May,"Females","Part time","Labourers",210.53806224
"748",1992 May,"Females","Part time","Machinery Operators and Drivers",23.86004688
"749",1992 May,"Females","Part time","Managers",96.96513927
"750",1992 May,"Females","Part time","Professionals",191.24665555
"751",1992 May,"Females","Part time","Sales Workers",309.96674883
"752",1992 May,"Females","Part time","Technicians and Trades Workers",42.21469042
"753",1992 May,"Males","Full time","Clerical and Administrative Workers",163.17174422
"754",1992 May,"Males","Full time","Community and Personal Service Workers",147.41398775
"755",1992 May,"Males","Full time","Labourers",499.38032129
"756",1992 May,"Males","Full time","Machinery Operators and Drivers",434.51313968
"757",1992 May,"Males","Full time","Managers",620.97295072
"758",1992 May,"Males","Full time","Professionals",632.3606605
"759",1992 May,"Males","Full time","Sales Workers",371.72395295
"760",1992 May,"Males","Full time","Technicians and Trades Workers",1072.12126218
"761",1992 May,"Males","Part time","Clerical and Administrative Workers",13.38567928
"762",1992 May,"Males","Part time","Community and Personal Service Workers",40.21948568
"763",1992 May,"Males","Part time","Labourers",137.72778962
"764",1992 May,"Males","Part time","Machinery Operators and Drivers",37.42453362
"765",1992 May,"Males","Part time","Managers",33.93293949
"766",1992 May,"Males","Part time","Professionals",60.99329543
"767",1992 May,"Males","Part time","Sales Workers",78.27786472
"768",1992 May,"Males","Part time","Technicians and Trades Workers",57.78861592
"769",1992 Aug,"Females","Full time","Clerical and Administrative Workers",522.17515181
"770",1992 Aug,"Females","Full time","Community and Personal Service Workers",127.44572763
"771",1992 Aug,"Females","Full time","Labourers",153.13171049
"772",1992 Aug,"Females","Full time","Machinery Operators and Drivers",56.51666732
"773",1992 Aug,"Females","Full time","Managers",195.39398027
"774",1992 Aug,"Females","Full time","Professionals",410.99283586
"775",1992 Aug,"Females","Full time","Sales Workers",282.83954848
"776",1992 Aug,"Females","Full time","Technicians and Trades Workers",99.98733223
"777",1992 Aug,"Females","Part time","Clerical and Administrative Workers",309.81006868
"778",1992 Aug,"Females","Part time","Community and Personal Service Workers",189.38745087
"779",1992 Aug,"Females","Part time","Labourers",207.156046
"780",1992 Aug,"Females","Part time","Machinery Operators and Drivers",23.63662629
"781",1992 Aug,"Females","Part time","Managers",94.26128931
"782",1992 Aug,"Females","Part time","Professionals",200.98646987
"783",1992 Aug,"Females","Part time","Sales Workers",309.1544736
"784",1992 Aug,"Females","Part time","Technicians and Trades Workers",48.58759344
"785",1992 Aug,"Males","Full time","Clerical and Administrative Workers",169.85863563
"786",1992 Aug,"Males","Full time","Community and Personal Service Workers",147.56053372
"787",1992 Aug,"Males","Full time","Labourers",477.17623365
"788",1992 Aug,"Males","Full time","Machinery Operators and Drivers",440.22443021
"789",1992 Aug,"Males","Full time","Managers",631.36001665
"790",1992 Aug,"Males","Full time","Professionals",645.22812418
"791",1992 Aug,"Males","Full time","Sales Workers",355.0822699
"792",1992 Aug,"Males","Full time","Technicians and Trades Workers",1054.678929
"793",1992 Aug,"Males","Part time","Clerical and Administrative Workers",12.02888076
"794",1992 Aug,"Males","Part time","Community and Personal Service Workers",41.54809339
"795",1992 Aug,"Males","Part time","Labourers",130.84091812
"796",1992 Aug,"Males","Part time","Machinery Operators and Drivers",41.64921064
"797",1992 Aug,"Males","Part time","Managers",37.56979546
"798",1992 Aug,"Males","Part time","Professionals",59.05903247
"799",1992 Aug,"Males","Part time","Sales Workers",77.02933347
"800",1992 Aug,"Males","Part time","Technicians and Trades Workers",61.04169202
"801",1992 Nov,"Females","Full time","Clerical and Administrative Workers",512.20530208
"802",1992 Nov,"Females","Full time","Community and Personal Service Workers",141.58146734
"803",1992 Nov,"Females","Full time","Labourers",158.4625279
"804",1992 Nov,"Females","Full time","Machinery Operators and Drivers",57.44232693
"805",1992 Nov,"Females","Full time","Managers",200.84798528
"806",1992 Nov,"Females","Full time","Professionals",405.25383754
"807",1992 Nov,"Females","Full time","Sales Workers",288.99146615
"808",1992 Nov,"Females","Full time","Technicians and Trades Workers",102.68026139
"809",1992 Nov,"Females","Part time","Clerical and Administrative Workers",280.43150206
"810",1992 Nov,"Females","Part time","Community and Personal Service Workers",197.34270024
"811",1992 Nov,"Females","Part time","Labourers",212.43821852
"812",1992 Nov,"Females","Part time","Machinery Operators and Drivers",25.97415332
"813",1992 Nov,"Females","Part time","Managers",98.05458993
"814",1992 Nov,"Females","Part time","Professionals",203.07285953
"815",1992 Nov,"Females","Part time","Sales Workers",308.73346324
"816",1992 Nov,"Females","Part time","Technicians and Trades Workers",47.23206692
"817",1992 Nov,"Males","Full time","Clerical and Administrative Workers",176.20550887
"818",1992 Nov,"Males","Full time","Community and Personal Service Workers",141.48184207
"819",1992 Nov,"Males","Full time","Labourers",496.18785439
"820",1992 Nov,"Males","Full time","Machinery Operators and Drivers",422.61324791
"821",1992 Nov,"Males","Full time","Managers",620.6727071
"822",1992 Nov,"Males","Full time","Professionals",638.5011971
"823",1992 Nov,"Males","Full time","Sales Workers",383.83063603
"824",1992 Nov,"Males","Full time","Technicians and Trades Workers",1027.6782425
"825",1992 Nov,"Males","Part time","Clerical and Administrative Workers",12.98939007
"826",1992 Nov,"Males","Part time","Community and Personal Service Workers",37.88886293
"827",1992 Nov,"Males","Part time","Labourers",137.29238794
"828",1992 Nov,"Males","Part time","Machinery Operators and Drivers",38.25787041
"829",1992 Nov,"Males","Part time","Managers",32.09336364
"830",1992 Nov,"Males","Part time","Professionals",49.48070781
"831",1992 Nov,"Males","Part time","Sales Workers",72.24103745
"832",1992 Nov,"Males","Part time","Technicians and Trades Workers",59.28691599
"833",1993 Feb,"Females","Full time","Clerical and Administrative Workers",540.97281896
"834",1993 Feb,"Females","Full time","Community and Personal Service Workers",137.60494712
"835",1993 Feb,"Females","Full time","Labourers",148.56637424
"836",1993 Feb,"Females","Full time","Machinery Operators and Drivers",59.56768072
"837",1993 Feb,"Females","Full time","Managers",195.42698863
"838",1993 Feb,"Females","Full time","Professionals",405.07624856
"839",1993 Feb,"Females","Full time","Sales Workers",291.39512054
"840",1993 Feb,"Females","Full time","Technicians and Trades Workers",100.34519769
"841",1993 Feb,"Females","Part time","Clerical and Administrative Workers",285.99833431
"842",1993 Feb,"Females","Part time","Community and Personal Service Workers",176.21900731
"843",1993 Feb,"Females","Part time","Labourers",208.99233971
"844",1993 Feb,"Females","Part time","Machinery Operators and Drivers",22.29037109
"845",1993 Feb,"Females","Part time","Managers",94.8656634
"846",1993 Feb,"Females","Part time","Professionals",176.95514747
"847",1993 Feb,"Females","Part time","Sales Workers",300.58381036
"848",1993 Feb,"Females","Part time","Technicians and Trades Workers",42.22404158
"849",1993 Feb,"Males","Full time","Clerical and Administrative Workers",177.08171047
"850",1993 Feb,"Males","Full time","Community and Personal Service Workers",138.04341173
"851",1993 Feb,"Males","Full time","Labourers",490.58390097
"852",1993 Feb,"Males","Full time","Machinery Operators and Drivers",434.66043801
"853",1993 Feb,"Males","Full time","Managers",637.26528878
"854",1993 Feb,"Males","Full time","Professionals",636.76044001
"855",1993 Feb,"Males","Full time","Sales Workers",373.44775309
"856",1993 Feb,"Males","Full time","Technicians and Trades Workers",1052.54863633
"857",1993 Feb,"Males","Part time","Clerical and Administrative Workers",10.21648178
"858",1993 Feb,"Males","Part time","Community and Personal Service Workers",35.74088229
"859",1993 Feb,"Males","Part time","Labourers",126.60872121
"860",1993 Feb,"Males","Part time","Machinery Operators and Drivers",37.83441864
"861",1993 Feb,"Males","Part time","Managers",30.72283978
"862",1993 Feb,"Males","Part time","Professionals",41.53131563
"863",1993 Feb,"Males","Part time","Sales Workers",70.50576875
"864",1993 Feb,"Males","Part time","Technicians and Trades Workers",50.32320947
"865",1993 May,"Females","Full time","Clerical and Administrative Workers",538.00313583
"866",1993 May,"Females","Full time","Community and Personal Service Workers",146.78587583
"867",1993 May,"Females","Full time","Labourers",149.20770362
"868",1993 May,"Females","Full time","Machinery Operators and Drivers",63.66383432
"869",1993 May,"Females","Full time","Managers",195.12408729
"870",1993 May,"Females","Full time","Professionals",411.24613469
"871",1993 May,"Females","Full time","Sales Workers",276.5756519
"872",1993 May,"Females","Full time","Technicians and Trades Workers",106.21388305
"873",1993 May,"Females","Part time","Clerical and Administrative Workers",303.99360317
"874",1993 May,"Females","Part time","Community and Personal Service Workers",177.4344118
"875",1993 May,"Females","Part time","Labourers",205.84254368
"876",1993 May,"Females","Part time","Machinery Operators and Drivers",22.44796174
"877",1993 May,"Females","Part time","Managers",98.82874467
"878",1993 May,"Females","Part time","Professionals",184.03840875
"879",1993 May,"Females","Part time","Sales Workers",316.11851051
"880",1993 May,"Females","Part time","Technicians and Trades Workers",46.12166358
"881",1993 May,"Males","Full time","Clerical and Administrative Workers",174.23526882
"882",1993 May,"Males","Full time","Community and Personal Service Workers",135.84551093
"883",1993 May,"Males","Full time","Labourers",504.34276145
"884",1993 May,"Males","Full time","Machinery Operators and Drivers",430.06649287
"885",1993 May,"Males","Full time","Managers",644.24936885
"886",1993 May,"Males","Full time","Professionals",622.17433869
"887",1993 May,"Males","Full time","Sales Workers",372.79890216
"888",1993 May,"Males","Full time","Technicians and Trades Workers",1060.60757783
"889",1993 May,"Males","Part time","Clerical and Administrative Workers",12.80268673
"890",1993 May,"Males","Part time","Community and Personal Service Workers",39.15580242
"891",1993 May,"Males","Part time","Labourers",130.19759338
"892",1993 May,"Males","Part time","Machinery Operators and Drivers",41.0389875
"893",1993 May,"Males","Part time","Managers",31.00876484
"894",1993 May,"Males","Part time","Professionals",49.23134828
"895",1993 May,"Males","Part time","Sales Workers",78.20112052
"896",1993 May,"Males","Part time","Technicians and Trades Workers",52.90410933
"897",1993 Aug,"Females","Full time","Clerical and Administrative Workers",539.31809609
"898",1993 Aug,"Females","Full time","Community and Personal Service Workers",133.97998452
"899",1993 Aug,"Females","Full time","Labourers",150.17991461
"900",1993 Aug,"Females","Full time","Machinery Operators and Drivers",58.83539426
"901",1993 Aug,"Females","Full time","Managers",198.66514985
"902",1993 Aug,"Females","Full time","Professionals",429.93518075
"903",1993 Aug,"Females","Full time","Sales Workers",260.11076486
"904",1993 Aug,"Females","Full time","Technicians and Trades Workers",103.3370488
"905",1993 Aug,"Females","Part time","Clerical and Administrative Workers",303.57005572
"906",1993 Aug,"Females","Part time","Community and Personal Service Workers",178.42950738
"907",1993 Aug,"Females","Part time","Labourers",199.58993877
"908",1993 Aug,"Females","Part time","Machinery Operators and Drivers",24.3971768
"909",1993 Aug,"Females","Part time","Managers",96.76976533
"910",1993 Aug,"Females","Part time","Professionals",195.17996889
"911",1993 Aug,"Females","Part time","Sales Workers",309.45869905
"912",1993 Aug,"Females","Part time","Technicians and Trades Workers",47.09591611
"913",1993 Aug,"Males","Full time","Clerical and Administrative Workers",163.18221212
"914",1993 Aug,"Males","Full time","Community and Personal Service Workers",134.30102044
"915",1993 Aug,"Males","Full time","Labourers",492.62615657
"916",1993 Aug,"Males","Full time","Machinery Operators and Drivers",425.23997829
"917",1993 Aug,"Males","Full time","Managers",649.50259887
"918",1993 Aug,"Males","Full time","Professionals",630.69300459
"919",1993 Aug,"Males","Full time","Sales Workers",372.92832934
"920",1993 Aug,"Males","Full time","Technicians and Trades Workers",1053.94092042
"921",1993 Aug,"Males","Part time","Clerical and Administrative Workers",12.67729969
"922",1993 Aug,"Males","Part time","Community and Personal Service Workers",34.30415846
"923",1993 Aug,"Males","Part time","Labourers",137.90872879
"924",1993 Aug,"Males","Part time","Machinery Operators and Drivers",40.27198368
"925",1993 Aug,"Males","Part time","Managers",35.12232928
"926",1993 Aug,"Males","Part time","Professionals",51.01864703
"927",1993 Aug,"Males","Part time","Sales Workers",68.31182771
"928",1993 Aug,"Males","Part time","Technicians and Trades Workers",58.52137434
"929",1993 Nov,"Females","Full time","Clerical and Administrative Workers",541.64671958
"930",1993 Nov,"Females","Full time","Community and Personal Service Workers",138.200776
"931",1993 Nov,"Females","Full time","Labourers",158.50645401
"932",1993 Nov,"Females","Full time","Machinery Operators and Drivers",64.57106248
"933",1993 Nov,"Females","Full time","Managers",212.11001611
"934",1993 Nov,"Females","Full time","Professionals",423.72375321
"935",1993 Nov,"Females","Full time","Sales Workers",274.08698207
"936",1993 Nov,"Females","Full time","Technicians and Trades Workers",101.41707476
"937",1993 Nov,"Females","Part time","Clerical and Administrative Workers",316.09995957
"938",1993 Nov,"Females","Part time","Community and Personal Service Workers",190.98318032
"939",1993 Nov,"Females","Part time","Labourers",213.93191359
"940",1993 Nov,"Females","Part time","Machinery Operators and Drivers",26.79333942
"941",1993 Nov,"Females","Part time","Managers",97.28373148
"942",1993 Nov,"Females","Part time","Professionals",194.19302768
"943",1993 Nov,"Females","Part time","Sales Workers",306.03525814
"944",1993 Nov,"Females","Part time","Technicians and Trades Workers",47.05547281
"945",1993 Nov,"Males","Full time","Clerical and Administrative Workers",170.29213052
"946",1993 Nov,"Males","Full time","Community and Personal Service Workers",141.23381823
"947",1993 Nov,"Males","Full time","Labourers",495.58950946
"948",1993 Nov,"Males","Full time","Machinery Operators and Drivers",443.51724534
"949",1993 Nov,"Males","Full time","Managers",654.46099054
"950",1993 Nov,"Males","Full time","Professionals",631.07496985
"951",1993 Nov,"Males","Full time","Sales Workers",373.89012705
"952",1993 Nov,"Males","Full time","Technicians and Trades Workers",1078.59219738
"953",1993 Nov,"Males","Part time","Clerical and Administrative Workers",12.51735832
"954",1993 Nov,"Males","Part time","Community and Personal Service Workers",44.44063443
"955",1993 Nov,"Males","Part time","Labourers",134.71823531
"956",1993 Nov,"Males","Part time","Machinery Operators and Drivers",44.84116366
"957",1993 Nov,"Males","Part time","Managers",36.39055073
"958",1993 Nov,"Males","Part time","Professionals",49.15891154
"959",1993 Nov,"Males","Part time","Sales Workers",77.61953959
"960",1993 Nov,"Males","Part time","Technicians and Trades Workers",49.94995132
"961",1994 Feb,"Females","Full time","Clerical and Administrative Workers",550.1097105
"962",1994 Feb,"Females","Full time","Community and Personal Service Workers",144.12658285
"963",1994 Feb,"Females","Full time","Labourers",156.75398451
"964",1994 Feb,"Females","Full time","Machinery Operators and Drivers",62.33632529
"965",1994 Feb,"Females","Full time","Managers",199.89536493
"966",1994 Feb,"Females","Full time","Professionals",434.7137948
"967",1994 Feb,"Females","Full time","Sales Workers",281.75176053
"968",1994 Feb,"Females","Full time","Technicians and Trades Workers",107.73818175
"969",1994 Feb,"Females","Part time","Clerical and Administrative Workers",312.63654612
"970",1994 Feb,"Females","Part time","Community and Personal Service Workers",173.45902971
"971",1994 Feb,"Females","Part time","Labourers",220.87704655
"972",1994 Feb,"Females","Part time","Machinery Operators and Drivers",27.01419589
"973",1994 Feb,"Females","Part time","Managers",95.72462419
"974",1994 Feb,"Females","Part time","Professionals",169.10783453
"975",1994 Feb,"Females","Part time","Sales Workers",303.192244
"976",1994 Feb,"Females","Part time","Technicians and Trades Workers",48.50805262
"977",1994 Feb,"Males","Full time","Clerical and Administrative Workers",177.70433014
"978",1994 Feb,"Males","Full time","Community and Personal Service Workers",150.29567728
"979",1994 Feb,"Males","Full time","Labourers",504.74393507
"980",1994 Feb,"Males","Full time","Machinery Operators and Drivers",448.2286191
"981",1994 Feb,"Males","Full time","Managers",638.76163886
"982",1994 Feb,"Males","Full time","Professionals",636.09578308
"983",1994 Feb,"Males","Full time","Sales Workers",379.60541899
"984",1994 Feb,"Males","Full time","Technicians and Trades Workers",1064.41077946
"985",1994 Feb,"Males","Part time","Clerical and Administrative Workers",15.1441278
"986",1994 Feb,"Males","Part time","Community and Personal Service Workers",41.88336772
"987",1994 Feb,"Males","Part time","Labourers",136.7482562
"988",1994 Feb,"Males","Part time","Machinery Operators and Drivers",42.04684859
"989",1994 Feb,"Males","Part time","Managers",37.52726396
"990",1994 Feb,"Males","Part time","Professionals",51.95544354
"991",1994 Feb,"Males","Part time","Sales Workers",74.42055398
"992",1994 Feb,"Males","Part time","Technicians and Trades Workers",51.08059594
"993",1994 May,"Females","Full time","Clerical and Administrative Workers",559.22333152
"994",1994 May,"Females","Full time","Community and Personal Service Workers",153.68464355
"995",1994 May,"Females","Full time","Labourers",152.85372118
"996",1994 May,"Females","Full time","Machinery Operators and Drivers",56.14547111
"997",1994 May,"Females","Full time","Managers",192.56979029
"998",1994 May,"Females","Full time","Professionals",412.73044427
"999",1994 May,"Females","Full time","Sales Workers",289.73754066
"1000",1994 May,"Females","Full time","Technicians and Trades Workers",108.10169406
"1001",1994 May,"Females","Part time","Clerical and Administrative Workers",306.42584379
"1002",1994 May,"Females","Part time","Community and Personal Service Workers",194.78393941
"1003",1994 May,"Females","Part time","Labourers",225.45388913
"1004",1994 May,"Females","Part time","Machinery Operators and Drivers",28.31246372
"1005",1994 May,"Females","Part time","Managers",96.05883023
"1006",1994 May,"Females","Part time","Professionals",201.39783674
"1007",1994 May,"Females","Part time","Sales Workers",334.82576318
"1008",1994 May,"Females","Part time","Technicians and Trades Workers",41.56629871
"1009",1994 May,"Males","Full time","Clerical and Administrative Workers",187.67983809
"1010",1994 May,"Males","Full time","Community and Personal Service Workers",148.43468035
"1011",1994 May,"Males","Full time","Labourers",513.44222949
"1012",1994 May,"Males","Full time","Machinery Operators and Drivers",451.45373385
"1013",1994 May,"Males","Full time","Managers",655.35542294
"1014",1994 May,"Males","Full time","Professionals",642.48431153
"1015",1994 May,"Males","Full time","Sales Workers",383.97106462
"1016",1994 May,"Males","Full time","Technicians and Trades Workers",1049.44945927
"1017",1994 May,"Males","Part time","Clerical and Administrative Workers",14.57120336
"1018",1994 May,"Males","Part time","Community and Personal Service Workers",41.97951758
"1019",1994 May,"Males","Part time","Labourers",139.75210031
"1020",1994 May,"Males","Part time","Machinery Operators and Drivers",41.56892315
"1021",1994 May,"Males","Part time","Managers",36.79274245
"1022",1994 May,"Males","Part time","Professionals",55.4443072
"1023",1994 May,"Males","Part time","Sales Workers",81.82895456
"1024",1994 May,"Males","Part time","Technicians and Trades Workers",59.82879607
"1025",1994 Aug,"Females","Full time","Clerical and Administrative Workers",556.29304559
"1026",1994 Aug,"Females","Full time","Community and Personal Service Workers",149.58148748
"1027",1994 Aug,"Females","Full time","Labourers",153.4349337
"1028",1994 Aug,"Females","Full time","Machinery Operators and Drivers",54.62993273
"1029",1994 Aug,"Females","Full time","Managers",203.75526592
"1030",1994 Aug,"Females","Full time","Professionals",416.33130375
"1031",1994 Aug,"Females","Full time","Sales Workers",286.78928077
"1032",1994 Aug,"Females","Full time","Technicians and Trades Workers",110.53925413
"1033",1994 Aug,"Females","Part time","Clerical and Administrative Workers",310.38455699
"1034",1994 Aug,"Females","Part time","Community and Personal Service Workers",193.49277218
"1035",1994 Aug,"Females","Part time","Labourers",210.38633822
"1036",1994 Aug,"Females","Part time","Machinery Operators and Drivers",27.36904767
"1037",1994 Aug,"Females","Part time","Managers",100.06356687
"1038",1994 Aug,"Females","Part time","Professionals",200.07393963
"1039",1994 Aug,"Females","Part time","Sales Workers",321.69948517
"1040",1994 Aug,"Females","Part time","Technicians and Trades Workers",49.86421829
"1041",1994 Aug,"Males","Full time","Clerical and Administrative Workers",180.23663041
"1042",1994 Aug,"Males","Full time","Community and Personal Service Workers",139.04442879
"1043",1994 Aug,"Males","Full time","Labourers",477.58110079
"1044",1994 Aug,"Males","Full time","Machinery Operators and Drivers",460.95424516
"1045",1994 Aug,"Males","Full time","Managers",664.15970198
"1046",1994 Aug,"Males","Full time","Professionals",663.42332927
"1047",1994 Aug,"Males","Full time","Sales Workers",379.83275042
"1048",1994 Aug,"Males","Full time","Technicians and Trades Workers",1058.91460532
"1049",1994 Aug,"Males","Part time","Clerical and Administrative Workers",16.35290838
"1050",1994 Aug,"Males","Part time","Community and Personal Service Workers",48.3139679
"1051",1994 Aug,"Males","Part time","Labourers",154.72374469
"1052",1994 Aug,"Males","Part time","Machinery Operators and Drivers",45.68469312
"1053",1994 Aug,"Males","Part time","Managers",31.98542483
"1054",1994 Aug,"Males","Part time","Professionals",57.01473152
"1055",1994 Aug,"Males","Part time","Sales Workers",83.46144233
"1056",1994 Aug,"Males","Part time","Technicians and Trades Workers",55.32174068
"1057",1994 Nov,"Females","Full time","Clerical and Administrative Workers",553.60906115
"1058",1994 Nov,"Females","Full time","Community and Personal Service Workers",158.74266983
"1059",1994 Nov,"Females","Full time","Labourers",160.41328742
"1060",1994 Nov,"Females","Full time","Machinery Operators and Drivers",61.45287466
"1061",1994 Nov,"Females","Full time","Managers",215.38425931
"1062",1994 Nov,"Females","Full time","Professionals",421.89629438
"1063",1994 Nov,"Females","Full time","Sales Workers",301.21780822
"1064",1994 Nov,"Females","Full time","Technicians and Trades Workers",108.87113115
"1065",1994 Nov,"Females","Part time","Clerical and Administrative Workers",321.17121829
"1066",1994 Nov,"Females","Part time","Community and Personal Service Workers",202.64467978
"1067",1994 Nov,"Females","Part time","Labourers",212.11715526
"1068",1994 Nov,"Females","Part time","Machinery Operators and Drivers",26.41803808
"1069",1994 Nov,"Females","Part time","Managers",102.87979253
"1070",1994 Nov,"Females","Part time","Professionals",195.33622156
"1071",1994 Nov,"Females","Part time","Sales Workers",333.62580833
"1072",1994 Nov,"Females","Part time","Technicians and Trades Workers",55.26799657
"1073",1994 Nov,"Males","Full time","Clerical and Administrative Workers",173.80315488
"1074",1994 Nov,"Males","Full time","Community and Personal Service Workers",146.27443298
"1075",1994 Nov,"Males","Full time","Labourers",520.50614877
"1076",1994 Nov,"Males","Full time","Machinery Operators and Drivers",453.47755387
"1077",1994 Nov,"Males","Full time","Managers",651.64809075
"1078",1994 Nov,"Males","Full time","Professionals",667.11400843
"1079",1994 Nov,"Males","Full time","Sales Workers",382.95524694
"1080",1994 Nov,"Males","Full time","Technicians and Trades Workers",1088.20318265
"1081",1994 Nov,"Males","Part time","Clerical and Administrative Workers",16.95917878
"1082",1994 Nov,"Males","Part time","Community and Personal Service Workers",43.64206531
"1083",1994 Nov,"Males","Part time","Labourers",151.97100385
"1084",1994 Nov,"Males","Part time","Machinery Operators and Drivers",44.15312838
"1085",1994 Nov,"Males","Part time","Managers",36.19522884
"1086",1994 Nov,"Males","Part time","Professionals",56.33304319
"1087",1994 Nov,"Males","Part time","Sales Workers",84.46857788
"1088",1994 Nov,"Males","Part time","Technicians and Trades Workers",54.50103013
"1089",1995 Feb,"Females","Full time","Clerical and Administrative Workers",553.13523555
"1090",1995 Feb,"Females","Full time","Community and Personal Service Workers",158.4549916
"1091",1995 Feb,"Females","Full time","Labourers",171.28946209
"1092",1995 Feb,"Females","Full time","Machinery Operators and Drivers",59.120689
"1093",1995 Feb,"Females","Full time","Managers",195.10839445
"1094",1995 Feb,"Females","Full time","Professionals",425.42552632
"1095",1995 Feb,"Females","Full time","Sales Workers",312.60596312
"1096",1995 Feb,"Females","Full time","Technicians and Trades Workers",111.75383683
"1097",1995 Feb,"Females","Part time","Clerical and Administrative Workers",337.53017242
"1098",1995 Feb,"Females","Part time","Community and Personal Service Workers",195.94041827
"1099",1995 Feb,"Females","Part time","Labourers",220.88482762
"1100",1995 Feb,"Females","Part time","Machinery Operators and Drivers",22.0766577
"1101",1995 Feb,"Females","Part time","Managers",97.38153085
"1102",1995 Feb,"Females","Part time","Professionals",183.03375494
"1103",1995 Feb,"Females","Part time","Sales Workers",321.1948806
"1104",1995 Feb,"Females","Part time","Technicians and Trades Workers",52.71403178
"1105",1995 Feb,"Males","Full time","Clerical and Administrative Workers",176.26719545
"1106",1995 Feb,"Males","Full time","Community and Personal Service Workers",146.8343831
"1107",1995 Feb,"Males","Full time","Labourers",546.1539392
"1108",1995 Feb,"Males","Full time","Machinery Operators and Drivers",463.68149779
"1109",1995 Feb,"Males","Full time","Managers",631.70011997
"1110",1995 Feb,"Males","Full time","Professionals",673.57623941
"1111",1995 Feb,"Males","Full time","Sales Workers",414.69514877
"1112",1995 Feb,"Males","Full time","Technicians and Trades Workers",1103.34503606
"1113",1995 Feb,"Males","Part time","Clerical and Administrative Workers",16.50290431
"1114",1995 Feb,"Males","Part time","Community and Personal Service Workers",47.89076312
"1115",1995 Feb,"Males","Part time","Labourers",151.4768532
"1116",1995 Feb,"Males","Part time","Machinery Operators and Drivers",45.95232907
"1117",1995 Feb,"Males","Part time","Managers",33.47321651
"1118",1995 Feb,"Males","Part time","Professionals",54.03783678
"1119",1995 Feb,"Males","Part time","Sales Workers",75.73734096
"1120",1995 Feb,"Males","Part time","Technicians and Trades Workers",50.90075534
"1121",1995 May,"Females","Full time","Clerical and Administrative Workers",562.38029566
"1122",1995 May,"Females","Full time","Community and Personal Service Workers",172.42435402
"1123",1995 May,"Females","Full time","Labourers",167.19976968
"1124",1995 May,"Females","Full time","Machinery Operators and Drivers",53.15391329
"1125",1995 May,"Females","Full time","Managers",194.91775674
"1126",1995 May,"Females","Full time","Professionals",455.35150355
"1127",1995 May,"Females","Full time","Sales Workers",305.32965189
"1128",1995 May,"Females","Full time","Technicians and Trades Workers",112.77683299
"1129",1995 May,"Females","Part time","Clerical and Administrative Workers",335.17934985
"1130",1995 May,"Females","Part time","Community and Personal Service Workers",207.96499345
"1131",1995 May,"Females","Part time","Labourers",224.17524228
"1132",1995 May,"Females","Part time","Machinery Operators and Drivers",31.36627911
"1133",1995 May,"Females","Part time","Managers",102.54164964
"1134",1995 May,"Females","Part time","Professionals",206.06565214
"1135",1995 May,"Females","Part time","Sales Workers",340.9787752
"1136",1995 May,"Females","Part time","Technicians and Trades Workers",50.93487972
"1137",1995 May,"Males","Full time","Clerical and Administrative Workers",161.60198247
"1138",1995 May,"Males","Full time","Community and Personal Service Workers",144.47569542
"1139",1995 May,"Males","Full time","Labourers",527.02376585
"1140",1995 May,"Males","Full time","Machinery Operators and Drivers",467.77371875
"1141",1995 May,"Males","Full time","Managers",652.69602965
"1142",1995 May,"Males","Full time","Professionals",681.27520005
"1143",1995 May,"Males","Full time","Sales Workers",401.56456599
"1144",1995 May,"Males","Full time","Technicians and Trades Workers",1102.0196911
"1145",1995 May,"Males","Part time","Clerical and Administrative Workers",17.60538178
"1146",1995 May,"Males","Part time","Community and Personal Service Workers",49.63873481
"1147",1995 May,"Males","Part time","Labourers",142.34617124
"1148",1995 May,"Males","Part time","Machinery Operators and Drivers",46.95536877
"1149",1995 May,"Males","Part time","Managers",37.55993245
"1150",1995 May,"Males","Part time","Professionals",60.78058381
"1151",1995 May,"Males","Part time","Sales Workers",90.09444313
"1152",1995 May,"Males","Part time","Technicians and Trades Workers",59.04943607
"1153",1995 Aug,"Females","Full time","Clerical and Administrative Workers",583.17482863
"1154",1995 Aug,"Females","Full time","Community and Personal Service Workers",172.33587156
"1155",1995 Aug,"Females","Full time","Labourers",166.19451044
"1156",1995 Aug,"Females","Full time","Machinery Operators and Drivers",53.33353682
"1157",1995 Aug,"Females","Full time","Managers",189.03544647
"1158",1995 Aug,"Females","Full time","Professionals",459.22313213
